Nombre,Cargo
"
			Kamala Harris		","
				Vice President			"
"
			Antony Blinken		","
				Secretary of State			"
"
			Dr. Janet Yellen		","
				Secretary of the Treasury			"
"
			Lloyd Austin		","
				Secretary of Defense			"
"
			Merrick Garland		","
				Attorney General			"
"
			Deb Haaland		","
				Secretary of the Interior			"
"
			Tom Vilsack		","
				Secretary of Agriculture			"
"
			Gina Raimondo		","
				Secretary of Commerce			"
"
			Marty Walsh		","
				Secretary of Labor			"
"
			Xavier Becerra		","
				Secretary of Health and Human Services			"
"
			Marcia Fudge		","
				Secretary of Housing and Urban Development			"
"
			Pete Buttigieg		","
				Secretary of Transportation			"
"
			Jennifer Granholm		","
				Secretary of Energy			"
"
			Dr. Miguel Cardona		","
				Secretary of Education			"
"
			Denis McDonough		","
				Secretary of Veterans Affairs			"
"
			Alejandro Mayorkas		","
				Secretary of Homeland Security			"
"
			Michael Regan		","
				ADMINISTRATOR OF THE ENVIRONMENTAL PROTECTION AGENCY			"
"
			Avril Haines		","
				Director of National Intelligence			"
"
			Katherine Tai		","
				United States Trade Representative			"
"
			Linda Thomas-Greenfield		","
				United States Ambassador to the United Nations			"
"
			Dr. Cecilia Rouse		","
				Chair of the Council of Economic Advisers			"
"
			Isabel Guzman		","
				Administrator of the Small Business Administration			"
"
			Dr. Eric Lander		","
				Presidential Science Advisor and Director of the Office of Science and Technology Policy			"
"
			Ron Klain		","
				Chief of Staff			"
