Rank,Country,Hours spent on leisure and personal care
1, France,16.36
2, Spain,15.93
3, Netherlands,15.9
4, Denmark,15.87
5, Belgium,15.77
6, Norway,15.56
7, Germany,15.55
8, Ireland,15.28
9, Sweden,15.18
10, Finland,15.17
11, Luxembourg,15.15
12, Czech Republic,15.06
12, Hungary,15.06
14,  Switzerland,15.02
15, Slovakia,15.01
16, United Kingdom,14.92
17, Chile,14.9
17, Estonia,14.9
17, Russia,14.9
20, Italy,14.89
20, Portugal,14.89
22, New Zealand,14.87
23, Japan,14.85
24, Slovenia,14.75
25, South Africa,14.73
26, South Korea,14.7
27, Greece,14.67
28, Austria,14.55
29, Brazil,14.45
30, United States,14.44
31, Poland,14.42
32, Canada,14.41
33, Australia,14.35
34, Iceland,14.15
35, Israel,13.93
36, Latvia,13.83
37, Mexico,12.74
38, Turkey,12.59
